season,event_slug,corps_key,corps_name,caption_key,caption_name,category,score,rank
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,GE1,General Effect 1,GE,16.8,2
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,GE2,General Effect 2,GE,16,2
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,VP,Visual Proficiency,Visual,16.2,2
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,VA,Visual Analysis,Visual,15.6,2
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,CG,Color Guard,Visual,16.2,1
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,MB,Music - Brass,Music,16.3,2
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,MA,Music - Analysis,Music,16.8,1
2013,2013-alabama-sounds-of-summer,001j000000iwwsqaal,Blue Stars,MP,Music - Percussion,Music,17.1,1
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,GE1,General Effect 1,GE,14.4,5
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,GE2,General Effect 2,GE,13.6,5
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,VP,Visual Proficiency,Visual,13.7,6
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,VA,Visual Analysis,Visual,14,5
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,CG,Color Guard,Visual,13.3,6
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,MB,Music - Brass,Music,14.5,5
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,MA,Music - Analysis,Music,14,6
2013,2013-alabama-sounds-of-summer,001j000000iwx9waad,Jersey Surf,MP,Music - Percussion,Music,14.4,5
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,GE1,General Effect 1,GE,15.5,4
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,GE2,General Effect 2,GE,15.4,3
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,VP,Visual Proficiency,Visual,15.2,3
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,VA,Visual Analysis,Visual,15.1,3
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,CG,Color Guard,Visual,14.3,4
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,MB,Music - Brass,Music,15.3,3
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,MA,Music - Analysis,Music,15.2,4
2013,2013-alabama-sounds-of-summer,001j000000iwxa3aal,Mandarins,MP,Music - Percussion,Music,15.3,4
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,GE1,General Effect 1,GE,13.9,6
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,GE2,General Effect 2,GE,13,6
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,VP,Visual Proficiency,Visual,13.9,5
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,VA,Visual Analysis,Visual,13.9,6
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,CG,Color Guard,Visual,13.4,5
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,MB,Music - Brass,Music,14,6
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,MA,Music - Analysis,Music,14.3,5
2013,2013-alabama-sounds-of-summer,001j000000iwxa8aal,Pioneer,MP,Music - Percussion,Music,13.6,6
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,GE1,General Effect 1,GE,17.1,1
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,GE2,General Effect 2,GE,16.6,1
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,VP,Visual Proficiency,Visual,16.4,1
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,VA,Visual Analysis,Visual,16.1,1
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,CG,Color Guard,Visual,15.7,2
